k,topic_id,report_topic_id,topic_name,rank,term,weight
8,1,2,Topic 2,14,机会,53.54063346219285
8,1,2,Topic 2,15,市场,46.94194707509825
8,2,3,Topic 3,1,薪资,81.7213797910353
8,2,3,Topic 3,2,薪酬,55.19686496522094
8,2,3,Topic 3,3,销售,47.637134297190464
8,2,3,Topic 3,4,节日,47.5646571044323
8,2,3,Topic 3,5,定期,45.00453158782908
8,2,3,Topic 3,6,员工,43.88153354071793
8,2,3,Topic 3,7,金融,41.345910602855966
8,2,3,Topic 3,8,data,41.052337905265055
8,2,3,Topic 3,9,时间,40.177630792010845
8,2,3,Topic 3,10,节假日,39.12471546413794
8,2,3,Topic 3,11,法定,38.124814023905316
8,2,3,Topic 3,12,统计,37.41597749194218
8,2,3,Topic 3,13,发展,34.267039130090055
8,2,3,Topic 3,14,人力资源,34.02496704981167
8,2,3,Topic 3,15,in,32.12494940136232
8,3,4,Topic 4,1,业务,1160.289132760433
8,3,4,Topic 4,2,数据分析,811.6700449262868
8,3,4,Topic 4,3,运营,360.1357643109898
8,3,4,Topic 4,4,优化,359.2681090580512
8,3,4,Topic 4,5,模型,290.9219515114226
8,3,4,Topic 4,6,决策,259.98270673242484
8,3,4,Topic 4,7,sql,259.8389110105827
8,3,4,Topic 4,8,策略,252.0724138585341
8,3,4,Topic 4,9,报告,236.87351995961643
8,3,4,Topic 4,10,统计学,231.375157498159
8,3,4,Topic 4,11,指标,219.98920875883272
8,3,4,Topic 4,12,产品,207.71299902688034
8,3,4,Topic 4,13,用户,207.31719783451763
8,3,4,Topic 4,14,落地,206.67684191683267
8,3,4,Topic 4,15,需求,204.726225395968
8,4,5,Topic 5,1,管理,238.9880494953652
8,4,5,Topic 5,2,经营,237.1482682467436
8,4,5,Topic 5,3,数据分析,178.4853883473959
8,4,5,Topic 5,4,运营,127.19101964444691
8,4,5,Topic 5,5,软件,83.0003977085108
8,4,5,Topic 5,6,收集,75.27621049759755
8,4,5,Topic 5,7,情况,67.6367439634218
8,4,5,Topic 5,8,协调,66.93817018029269
8,4,5,Topic 5,9,报告,65.2014028938601
8,4,5,Topic 5,10,提出,64.55232074891984
8,4,5,Topic 5,11,整理,63.84816789438244
8,4,5,Topic 5,12,信息,58.62460625595167
8,4,5,Topic 5,13,企业,58.08706296052897
8,4,5,Topic 5,14,组织,56.70006858970703
8,4,5,Topic 5,15,统计,55.14994788598386
8,5,6,Topic 6,1,业务,440.25766556279785
8,5,6,Topic 6,2,数据分析,381.11803553150395
8,5,6,Topic 6,3,财务,241.10485804979683
8,5,6,Topic 6,4,优化,217.48510134918817
8,5,6,Topic 6,5,报表,202.57074709883676
8,5,6,Topic 6,6,清洗,168.4084688899593
8,5,6,Topic 6,7,流程,163.40649159372484
8,5,6,Topic 6,8,管理,158.05868180620408
8,5,6,Topic 6,9,成本,147.2157886579086
8,5,6,Topic 6,10,系统,147.11117647260204
8,5,6,Topic 6,11,sql,136.3001771509367
8,5,6,Topic 6,12,确保,129.49434024170841
8,5,6,Topic 6,13,bi,115.37663466733989
8,5,6,Topic 6,14,基础,108.87135542652732
8,5,6,Topic 6,15,可视化,107.88467754945533
8,6,7,Topic 7,1,策略,121.42387260404557
8,6,7,Topic 7,2,业务,70.28644036882115
8,6,7,Topic 7,3,配送,55.52796763171528
8,6,7,Topic 7,4,物流,52.64848858874449
8,6,7,Topic 7,5,服务,47.17882840302254
8,6,7,Topic 7,6,价格,31.98950522247341
8,6,7,Topic 7,7,定价,31.743120820794136
8,6,7,Topic 7,8,落地,31.084996784690478
8,6,7,Topic 7,9,科技,30.724602694552637
8,6,7,Topic 7,10,体系,30.21552876848242
8,6,7,Topic 7,11,美团,29.80244622191664
8,6,7,Topic 7,12,行业,29.4092808731085
8,6,7,Topic 7,13,人群,29.084219770035013
8,6,7,Topic 7,14,持续,29.01096247491487
8,6,7,Topic 7,15,运营,28.50807824336274
8,7,8,Topic 8,1,项目,90.62233269306918
8,7,8,Topic 8,2,资金,83.925563620329
8,7,8,Topic 8,3,客户,80.28435781181683
8,7,8,Topic 8,4,软件,57.53378238520153
8,7,8,Topic 8,5,交易,56.356485353330456
8,7,8,Topic 8,6,功能,51.61413863371652
8,7,8,Topic 8,7,行业,43.639211653528974
8,7,8,Topic 8,8,经济,42.54584618128491
8,7,8,Topic 8,9,市场,40.146383489413836
8,7,8,Topic 8,10,研判,38.601001631857045
8,7,8,Topic 8,11,数据分析,37.825883839643765
8,7,8,Topic 8,12,投资,36.466061125964
8,7,8,Topic 8,13,金融,35.72428645714565
8,7,8,Topic 8,14,政府,35.34404521593908
8,7,8,Topic 8,15,可视化,34.68749737409874
